"","fips","LON","LAT"
"123","31007",-103.711403574819,41.5466906638741
"124","18037",-86.879282686634,38.365899640628
"125","05027",-93.2265106639638,33.2122610928373
"126","08099",-102.392605259077,37.9555279888316
"127","18077",-85.4364114636688,38.7857666951578
"128","19043",-91.3411869813409,42.8444220527315
"129","24025",-76.3076059100667,39.5500453199204
"130","40141",-98.9279376808338,34.3747651657942
"131","40045",-99.7530268310148,36.2176549421835
"132","51083",-78.9352016866277,36.7664192613015
"133","13081",-83.7678815221864,31.9230373219825
"134","05125",-92.6750719183054,34.6481145045674
"135","08027",-105.368359967912,38.109085427229
"136","13097",-84.770285814795,33.703037282234
"137","17095",-90.213310792904,40.931606896557
"138","20151",-98.7392227494741,37.6479795143531
"139","22003",-92.8247748776232,30.6538080104403
"140","26067",-85.0741206763654,42.9449954436903
